Time,Dist8_0,Dist12_0,Dist16_0,Dist20_0
7.768068,0.1753462,0.1861628,0.1770466,0.1549545
7.783051,0.175424,0.1862951,0.1771539,0.1550427
7.799315,0.1754734,0.1863923,0.177221,0.1550913
7.811372,0.1755174,0.1864702,0.1772649,0.1551073
7.824327,0.1755594,0.1865458,0.1773077,0.1551234
7.83904,0.1756001,0.18662,0.1773499,0.1551403
7.85244,0.1756382,0.186693,0.177392,0.1551578
7.865334,0.1755914,0.1866385,0.1773597,0.1551397
7.880086,0.1754904,0.1864986,0.1772925,0.1550679
7.893576,0.1753802,0.1863676,0.1771562,0.1549336
7.907319,0.1752627,0.1861712,0.1769573,0.1547508
7.922038,0.1751397,0.1859212,0.176717,0.1545372
7.935479,0.1748628,0.1851387,0.1760085,0.1539838
7.950153,0.1743507,0.1839592,0.1750014,0.1533313
7.964069,0.1736857,0.1826121,0.1738659,0.1526325
7.979224,0.1729612,0.1812588,0.1727174,0.1519488
7.990882,0.1717893,0.1798832,0.1715299,0.1511852
8.00771,0.1705785,0.1785031,0.1703074,0.1504136
8.019803,0.1694321,0.1773775,0.1695129,0.1498671
8.032894,0.1682725,0.1761985,0.168665,0.1492902
8.04705,0.1671114,0.1751535,0.167873,0.1487265
8.060862,0.165894,0.1740486,0.1670345,0.1481253
8.074722,0.1646142,0.1728868,0.1661536,0.1474897
8.089168,0.163269,0.1716705,0.1652332,0.1468226
8.102613,0.1627002,0.1710136,0.1645638,0.1462909
8.117417,0.1625347,0.1706918,0.1642133,0.1459263
8.130518,0.1622179,0.1702675,0.1638041,0.1455197
8.1452,0.1620394,0.1699566,0.1634958,0.1451921
8.15917,0.1618172,0.16961,0.1631713,0.1448534
8.172979,0.1615673,0.1692368,0.1628332,0.1445039
8.186955,0.1612973,0.1688423,0.1624827,0.1441433
8.199914,0.1611662,0.1686176,0.1622961,0.1439603
8.217449,0.1609858,0.1683563,0.1621008,0.1438
8.228788,0.1607959,0.1680838,0.1618967,0.1436306
8.244477,0.1606533,0.1678637,0.1617381,0.1434838
8.256733,0.1605163,0.1676488,0.1615825,0.1433339
8.269906,0.1603792,0.1674335,0.1614264,0.1431783
8.284463,0.1603169,0.1673031,0.1613253,0.143084
8.29807,0.1602615,0.1671757,0.1612557,0.1429849
8.312646,0.1602751,0.16713,0.1612751,0.1429258
8.325971,0.1602982,0.1671187,0.1613346,0.142907
8.340238,0.160326,0.167136,0.1614214,0.1429237
8.355847,0.1603182,0.1671137,0.1614754,0.1429501
8.367411,0.1603109,0.1670955,0.1615293,0.1429868
8.381409,0.160291,0.1671255,0.1616038,0.1430335
8.395083,0.1602676,0.1671614,0.1616773,0.1430802
8.4097,0.160241,0.1672008,0.1617493,0.1431255
8.427391,0.1601826,0.1671965,0.1617552,0.1431464
8.43808,0.160121,0.1671871,0.1617535,0.1431626
8.451726,0.160051,0.1671712,0.1617731,0.1431813
8.465049,0.1599775,0.1671515,0.1617927,0.1431979
8.479911,0.1598505,0.1670949,0.1617562,0.1431503
8.493218,0.159713,0.1670265,0.1617031,0.1430865
8.507014,0.1595709,0.1669497,0.1616377,0.1430115
8.521804,0.1592675,0.1668415,0.1613575,0.142649
8.534446,0.1589617,0.1667375,0.1610397,0.1422454
8.54993,0.1585781,0.1665913,0.1603323,0.1417477
8.563368,0.1581825,0.1664074,0.1595383,0.1411986
8.575624,0.1578161,0.1661957,0.1587735,0.140664
8.589599,0.1574814,0.1661339,0.1586908,0.1404137
8.602792,0.1571532,0.1660146,0.1585098,0.1401754
8.617892,0.1568994,0.1657667,0.1582966,0.1399685
8.634008,0.156617,0.1654963,0.158015,0.1397395
8.645081,0.1562695,0.1651863,0.1578512,0.1395859
8.659358,0.1559334,0.1649024,0.1576721,0.1394294
8.673102,0.1555554,0.1645969,0.1574574,0.1392436
8.688153,0.1551557,0.1641693,0.1571982,0.1392039
8.701238,0.1547283,0.163738,0.1569264,0.1391394
8.714989,0.1542101,0.1631482,0.1565026,0.1389656
8.728575,0.1536916,0.1625997,0.1560959,0.1387758
8.743225,0.1531674,0.1620084,0.1557052,0.1385715
8.757786,0.1526787,0.1613888,0.1553805,0.1384958
8.770445,0.1519683,0.1605504,0.1548775,0.1384106
8.787136,0.1513704,0.15973,0.15424,0.1383964
8.798841,0.1506708,0.1588453,0.1535586,0.1383052
8.813112,0.1499741,0.1583787,0.1532002,0.1381886
8.827232,0.1493596,0.1582391,0.1530885,0.1381299
8.844461,0.1489029,0.158261,0.1531023,0.1381285
8.856025,0.1490556,0.1588515,0.1535311,0.138308
8.868739,0.1492789,0.1593824,0.1539309,0.138526
8.883535,0.1496609,0.1598398,0.1542727,0.1386845
8.896808,0.1500009,0.160215,0.1545566,0.1388281
8.910415,0.1503032,0.1605399,0.154803,0.138959
8.92578,0.1505934,0.160613,0.1548353,0.1390185
8.938207,0.1508553,0.1606859,0.1548678,0.139073
8.951845,0.1510383,0.1606645,0.1547993,0.13904
8.96638,0.1512095,0.1606451,0.1547318,0.1390031
8.979437,0.1512764,0.1605429,0.1545691,0.1388824
8.993532,0.1513263,0.1604326,0.1543963,0.1387489
9.008034,0.151364,0.1603152,0.1542153,0.1386069
9.022727,0.151317,0.1600709,0.1539765,0.1384559
9.035266,0.1512536,0.1598128,0.1537306,0.1383023
9.052117,0.1511371,0.1595698,0.1534994,0.1381648
9.064153,0.151007,0.1593267,0.1532698,0.1380269
9.077506,0.150868,0.1590817,0.1530392,0.137886
9.093367,0.1508593,0.1589386,0.1529149,0.1378233
9.104875,0.1508601,0.1587983,0.1527926,0.1377612
